00:00:20.228523 DCon08   WARNING [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={d5dcece0-b202-4416-a138-03502784cc07} aComponent={HostWrap} aText={Could not load the Host USB Proxy service: VERR_NOT_FOUND}, preserve=true aResultDetail=0
00:00:20.228925 DCon08   WARNING [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={d5dcece0-b202-4416-a138-03502784cc07} aComponent={HostWrap} aText={Could not load the Host USB Proxy service: VERR_NOT_FOUND}, preserve=true aResultDetail=0
00:00:20.233989 DCon08   WARNING [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={d5dcece0-b202-4416-a138-03502784cc07} aComponent={HostWrap} aText={Could not load the Host USB Proxy service: VERR_NOT_FOUND}, preserve=true aResultDetail=0
00:00:20.234355 DCon08   WARNING [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={d5dcece0-b202-4416-a138-03502784cc07} aComponent={HostWrap} aText={Could not load the Host USB Proxy service: VERR_NOT_FOUND}, preserve=true aResultDetail=0
00:00:59.188970 DCon01   Saving settings file "/home/nikita/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:59.190941 DCon01   Finished saving settings file "/home/nikita/.config/VirtualBox/VirtualBox.xml"
00:01:05.696213 main     VirtualBox: object deletion starts
00:01:05.696240 main     ERROR [COM]: aRC=VBOX_E_OBJECT_IN_USE (0x80bb000c) aIID={7d510820-a678-4730-a862-818dcd3fbed0} aComponent={MediumWrap} aText={Medium '/home/nikita/VirtualBox VMs/Arch/Arch.vdi' cannot be closed because it is still attached to 1 virtual machines}, preserve=false aResultDetail=0
00:01:05.696328 main     ERROR [COM]: aRC=VBOX_E_OBJECT_IN_USE (0x80bb000c) aIID={7d510820-a678-4730-a862-818dcd3fbed0} aComponent={MediumWrap} aText={Medium '/home/nikita/VirtualBox VMs/шинда/шинда_1.vdi' cannot be closed because it is still attached to 1 virtual machines}, preserve=false aResultDetail=0
00:01:05.696371 main     ERROR [COM]: aRC=VBOX_E_OBJECT_IN_USE (0x80bb000c) aIID={7d510820-a678-4730-a862-818dcd3fbed0} aComponent={MediumWrap} aText={Medium '/mnt/storage/Linux/Gentoo_1.vdi' cannot be closed because it is still attached to 1 virtual machines}, preserve=false aResultDetail=0
00:01:05.696640 main     HostDnsMonitor: shutting down ...
00:01:05.700041 main     HostDnsMonitor: shut down
00:01:05.710316 Watcher  ERROR [COM]: aRC=E_ACCESSDENIED (0x80070005) aIID={2ce10519-3c09-45d8-a12d-e887786146b7} aComponent={VirtualBoxWrap} aText={The object is not ready}, preserve=false aResultDetail=0
00:01:05.710359 main     VirtualBox: object deleted
